age,status,sex,orientation,body_type,diet,drinks,drugs,smokes
39,single,f,straight,thin,,socially,,no
30,available,f,gay,full figured,strictly vegetarian,socially,sometimes,no
42,single,m,gay,fit,strictly anything,rarely,never,no
24,single,f,straight,athletic,,socially,never,no
43,single,m,straight,fit,,,never,
28,single,f,straight,,,often,sometimes,no
28,single,m,gay,used up,,socially,never,
47,single,m,straight,average,mostly anything,socially,never,no
28,single,m,straight,average,mostly anything,socially,,no
24,single,m,straight,average,strictly anything,desperately,sometimes,yes
24,single,m,straight,a little extra,mostly anything,socially,,sometimes
32,single,m,bisexual,fit,,rarely,never,no
29,single,f,straight,a little extra,strictly vegetarian,often,never,no
25,seeing someone,m,straight,,,often,sometimes,
41,single,m,straight,athletic,strictly anything,rarely,never,no
28,single,f,straight,thin,,socially,never,no
24,single,f,straight,thin,mostly anything,socially,never,no
32,single,f,straight,thin,anything,socially,never,no
38,single,f,straight,average,,socially,never,no
36,single,m,straight,average,anything,socially,never,no
28,single,m,gay,athletic,,socially,never,no
32,single,f,straight,curvy,,socially,,
26,single,m,straight,,strictly anything,often,,no
24,single,m,straight,average,strictly anything,socially,never,no
23,single,m,straight,average,,socially,,sometimes
28,single,m,straight,used up,strictly anything,socially,,sometimes
30,single,m,straight,athletic,,not at all,never,no
44,single,m,straight,average,mostly anything,socially,never,
20,single,m,straight,athletic,,socially,never,no
22,single,f,bisexual,curvy,,socially,sometimes,yes
35,single,m,straight,average,,socially,never,no
49,single,m,straight,athletic,mostly anything,socially,never,no
31,single,m,straight,average,mostly anything,socially,,no
34,seeing someone,m,straight,a little extra,,rarely,never,no
34,single,m,straight,athletic,mostly anything,socially,,no
27,single,m,straight,fit,strictly anything,often,sometimes,no
22,single,m,straight,average,mostly anything,socially,,no
31,single,m,straight,athletic,,socially,,no
47,single,m,straight,fit,strictly anything,socially,never,
45,single,m,straight,athletic,,socially,never,no
31,single,m,straight,fit,,socially,never,
30,single,m,straight,athletic,,socially,never,no
26,single,m,straight,fit,mostly anything,socially,never,no
24,single,m,straight,average,strictly anything,rarely,never,no
25,single,f,straight,,,socially,never,no
42,single,m,straight,fit,,,,
33,single,m,straight,athletic,mostly other,socially,never,no
26,single,m,straight,fit,mostly anything,socially,,when drinking
24,single,f,straight,fit,anything,socially,never,no
35,single,m,straight,fit,,socially,never,no
31,single,m,straight,fit,anything,socially,,no
41,single,m,straight,average,,socially,never,when drinking
27,single,f,straight,,strictly anything,socially,never,no
27,single,m,straight,athletic,mostly anything,socially,,sometimes
34,single,f,straight,curvy,mostly vegetarian,not at all,never,no
24,available,m,straight,average,,often,,no
32,single,m,straight,fit,,socially,,no
19,single,m,straight,skinny,strictly vegetarian,socially,sometimes,sometimes
27,single,m,straight,athletic,anything,socially,sometimes,sometimes
22,single,f,straight,curvy,,socially,never,no
33,single,f,straight,thin,,,,no
26,available,m,straight,average,strictly other,often,never,when drinking
25,single,m,straight,thin,,not at all,never,no
33,single,m,straight,fit,,socially,never,no
25,single,m,gay,average,mostly anything,socially,never,yes
28,single,m,straight,athletic,anything,socially,sometimes,
33,single,f,straight,average,,socially,never,no
48,single,f,straight,thin,,socially,never,no
19,single,f,straight,full figured,mostly anything,socially,never,sometimes
25,single,m,gay,average,,often,never,no
30,single,m,straight,fit,anything,,,no
46,single,m,straight,a little extra,,socially,never,no
23,single,f,bisexual,curvy,strictly other,socially,,sometimes
18,single,m,straight,jacked,mostly anything,not at all,never,trying to quit
27,single,m,straight,athletic,mostly anything,rarely,never,no
32,single,m,straight,a little extra,vegetarian,rarely,never,sometimes
29,single,m,gay,thin,,socially,never,sometimes
26,single,m,straight,average,anything,rarely,never,no
28,single,m,straight,a little extra,mostly anything,socially,sometimes,no
26,single,m,straight,average,mostly anything,socially,,sometimes
28,single,m,straight,average,,socially,never,no
24,single,m,straight,athletic,anything,socially,never,no
25,single,m,straight,athletic,strictly anything,socially,,no
26,single,m,straight,athletic,mostly anything,rarely,never,no
31,single,m,straight,fit,mostly anything,often,sometimes,when drinking
26,single,m,straight,fit,,socially,never,no
42,available,f,bisexual,full figured,,socially,,no
35,single,m,straight,average,anything,not at all,never,no
33,single,m,straight,athletic,,socially,never,no
37,single,m,gay,fit,strictly anything,often,sometimes,no
35,single,m,straight,average,,often,never,no
20,single,m,gay,skinny,strictly vegetarian,often,never,no
39,single,f,straight,a little extra,,socially,never,no
62,single,f,straight,average,,socially,never,no
35,single,f,straight,average,strictly anything,not at all,never,no
57,single,m,straight,fit,,rarely,never,no
50,single,m,straight,average,,not at all,never,no
25,single,m,straight,thin,strictly anything,socially,sometimes,sometimes
26,single,m,straight,fit,mostly anything,socially,never,no
25,single,m,straight,average,,not at all,never,yes
25,single,m,straight,a little extra,anything,socially,,
23,single,m,straight,fit,anything,socially,,
28,single,m,gay,fit,,socially,,no
29,single,m,straight,fit,mostly anything,socially,never,no
34,seeing someone,m,gay,fit,,socially,never,no
25,single,m,straight,,,socially,never,no
37,available,m,bisexual,overweight,mostly vegan,socially,sometimes,no
32,available,m,straight,fit,,socially,,no
35,single,f,straight,average,anything,often,never,sometimes
31,single,f,straight,,,often,sometimes,no
32,single,m,gay,curvy,,socially,never,no
23,single,m,straight,a little extra,anything,socially,never,no
36,single,m,straight,athletic,mostly anything,socially,never,no
59,available,m,gay,athletic,,socially,never,no
26,single,m,gay,athletic,,socially,never,no
25,single,m,straight,thin,strictly kosher,often,sometimes,no
23,single,m,straight,athletic,mostly anything,socially,never,no
27,single,m,straight,average,mostly anything,socially,never,no
24,single,m,straight,a little extra,mostly anything,socially,,when drinking
26,single,m,gay,average,anything,socially,,no
23,single,m,straight,athletic,mostly anything,often,never,when drinking
24,single,m,straight,athletic,,often,never,no
26,single,m,straight,skinny,mostly other,rarely,never,no
23,single,m,straight,fit,anything,socially,never,no
32,single,f,straight,curvy,,,never,
22,single,m,straight,average,strictly anything,socially,sometimes,no
31,single,m,straight,overweight,mostly anything,rarely,never,yes
22,single,m,straight,athletic,,socially,sometimes,
49,single,m,straight,fit,mostly anything,socially,never,trying to quit
28,single,m,straight,average,,socially,never,no
36,single,m,straight,athletic,mostly anything,socially,,no
32,single,m,gay,fit,,socially,never,no
25,single,m,straight,athletic,,socially,never,no
35,single,f,gay,average,,often,never,no
34,single,m,straight,fit,anything,not at all,never,no
25,single,m,straight,thin,,often,sometimes,sometimes
31,single,m,straight,athletic,,socially,sometimes,
31,single,m,straight,thin,strictly anything,socially,,sometimes
51,single,m,straight,athletic,anything,socially,never,no
43,single,m,straight,athletic,mostly anything,often,sometimes,no
29,single,m,straight,average,anything,socially,never,when drinking
40,single,m,straight,athletic,anything,,,
50,single,m,straight,fit,,socially,,no
37,single,m,straight,average,mostly vegetarian,rarely,never,no
27,seeing someone,m,straight,average,,rarely,never,no
32,single,m,straight,athletic,mostly vegetarian,rarely,never,no
31,single,f,straight,curvy,,socially,never,no
34,single,m,straight,average,anything,socially,never,sometimes
26,single,m,straight,athletic,,socially,never,no
29,single,m,straight,fit,mostly anything,socially,never,no
23,single,m,straight,thin,mostly anything,socially,sometimes,sometimes
29,single,m,straight,athletic,,socially,never,no
63,single,f,straight,curvy,strictly anything,socially,never,no
23,single,m,straight,average,mostly anything,socially,never,sometimes
47,single,m,straight,average,anything,socially,never,no
24,single,m,gay,average,,socially,,
41,single,m,straight,average,,not at all,never,trying to quit
30,single,m,straight,athletic,mostly anything,socially,,no
26,single,m,straight,fit,anything,socially,,no
27,single,m,straight,thin,strictly anything,socially,sometimes,sometimes
28,single,m,straight,a little extra,mostly anything,socially,never,no
31,single,m,straight,,anything,socially,never,no
45,available,m,straight,overweight,,not at all,never,no
38,single,m,gay,average,mostly anything,often,,trying to quit
29,single,f,straight,athletic,mostly anything,socially,,no
27,single,m,straight,average,mostly anything,socially,never,no
33,single,m,straight,athletic,strictly anything,often,,no
39,single,m,straight,fit,,socially,,no
46,single,m,straight,,,socially,never,no
61,single,m,straight,athletic,mostly anything,socially,never,no
46,single,f,straight,average,mostly vegetarian,socially,never,no
29,single,f,straight,average,mostly anything,,,
25,single,m,straight,fit,mostly vegetarian,socially,never,no
49,single,m,straight,fit,mostly anything,socially,,no
31,single,m,gay,athletic,mostly anything,socially,sometimes,sometimes
21,single,f,straight,average,vegetarian,socially,,no
35,single,m,straight,fit,,socially,never,no
33,single,f,straight,average,mostly anything,socially,never,no
29,single,m,straight,athletic,mostly anything,socially,,no
36,single,f,straight,fit,mostly anything,socially,never,when drinking
31,single,f,straight,curvy,,socially,never,no
23,single,m,straight,athletic,mostly anything,socially,never,sometimes
49,single,m,straight,athletic,,socially,,no
24,single,m,straight,average,,socially,never,trying to quit
59,single,m,straight,fit,,socially,,no
40,single,f,straight,thin,,socially,never,no
24,single,m,straight,athletic,strictly anything,rarely,never,no
26,single,m,straight,average,mostly anything,often,never,no
44,single,m,bisexual,,,often,sometimes,no
37,single,f,straight,,,socially,never,no
29,single,m,straight,,anything,socially,,
46,single,f,straight,average,strictly vegetarian,socially,never,no
19,single,f,straight,curvy,anything,socially,sometimes,no
27,single,m,straight,,,often,sometimes,yes
33,single,f,gay,,strictly vegetarian,rarely,never,no
25,single,m,straight,,strictly anything,socially,sometimes,when drinking
24,single,m,straight,fit,strictly anything,socially,never,no
24,single,m,gay,,,often,sometimes,no
23,single,m,straight,average,mostly anything,rarely,never,no
34,single,m,gay,athletic,,socially,never,no
36,single,m,straight,average,,socially,never,no
34,single,m,straight,thin,mostly anything,rarely,never,no
38,single,m,straight,average,,socially,sometimes,no
31,married,m,straight,,,often,never,no
32,single,m,straight,athletic,,socially,never,no
60,single,m,straight,fit,mostly anything,socially,sometimes,no
25,single,m,bisexual,average,,socially,,no
50,single,m,straight,average,,rarely,never,no
25,single,f,straight,,mostly anything,socially,never,no
32,single,f,straight,thin,anything,socially,,no
35,single,f,straight,thin,strictly anything,socially,never,no
43,single,m,gay,athletic,anything,socially,never,no
24,seeing someone,m,straight,average,strictly anything,socially,sometimes,sometimes
52,single,f,straight,curvy,,socially,never,no
42,single,m,gay,athletic,,not at all,never,no
27,single,m,straight,average,mostly anything,socially,never,no
27,single,m,straight,thin,mostly vegetarian,socially,never,no
33,single,m,straight,average,,rarely,never,sometimes
34,single,f,straight,thin,mostly anything,socially,never,no
25,single,m,straight,fit,mostly anything,socially,never,no
26,single,m,gay,average,,socially,never,no
18,single,m,gay,skinny,mostly kosher,socially,often,yes
31,single,f,straight,,,,,
30,available,m,straight,athletic,mostly anything,socially,sometimes,no
64,single,m,straight,average,,socially,never,no
49,single,f,straight,fit,,socially,never,no
42,single,f,straight,full figured,,rarely,never,no
35,single,m,straight,athletic,,often,never,no
26,single,m,straight,average,mostly anything,not at all,never,no
21,single,m,straight,thin,anything,,sometimes,no
30,single,m,straight,athletic,mostly anything,rarely,never,no
49,single,m,gay,fit,mostly anything,socially,never,no
20,seeing someone,f,straight,thin,strictly anything,very often,never,yes
31,single,m,straight,thin,,often,sometimes,sometimes
34,single,m,straight,average,anything,socially,never,no
32,single,f,straight,average,,socially,never,
30,single,f,straight,,strictly other,socially,,no
26,single,m,straight,average,mostly anything,socially,never,no
29,single,m,straight,fit,mostly anything,rarely,sometimes,sometimes
62,single,f,straight,athletic,anything,socially,never,no
42,single,f,straight,fit,,socially,,no
44,single,f,straight,thin,,often,never,no
42,single,f,straight,full figured,mostly anything,rarely,never,no
51,single,f,straight,average,,socially,never,no
25,single,m,straight,thin,strictly anything,often,,
21,single,f,straight,thin,strictly anything,not at all,never,no
29,single,f,straight,athletic,mostly anything,socially,never,no
32,single,m,straight,,,rarely,never,when drinking
38,single,m,straight,athletic,,socially,never,no
29,single,m,straight,thin,,socially,never,no
28,seeing someone,m,straight,a little extra,,socially,never,no
45,single,m,straight,average,mostly anything,socially,,
47,single,m,straight,athletic,,often,,no
27,single,m,bisexual,thin,anything,socially,,sometimes
59,single,m,straight,fit,mostly anything,socially,never,no
21,available,m,straight,fit,mostly anything,not at all,,yes
25,single,m,straight,average,mostly anything,socially,never,when drinking
41,single,m,straight,average,mostly vegetarian,,never,
56,single,f,gay,a little extra,mostly anything,rarely,never,no
26,single,m,gay,thin,mostly anything,socially,never,no
25,single,m,straight,,mostly anything,socially,,no
31,single,m,straight,athletic,mostly vegetarian,often,never,no
30,single,f,straight,athletic,,socially,never,no
25,single,f,straight,athletic,,socially,never,no
26,single,f,straight,,,socially,sometimes,no
28,available,m,straight,,,socially,never,no
29,single,m,straight,,,,,
25,single,f,gay,curvy,,,never,
18,single,f,straight,athletic,mostly anything,not at all,never,no
37,single,m,bisexual,fit,anything,rarely,sometimes,no
55,available,m,bisexual,,,rarely,sometimes,no
39,single,m,gay,thin,,socially,,no
27,single,m,straight,fit,strictly anything,desperately,,no
23,single,m,straight,average,,,never,
34,single,f,straight,fit,,rarely,never,yes
32,single,f,straight,athletic,mostly anything,socially,never,no
27,single,f,gay,,,,never,
25,single,f,straight,average,strictly anything,socially,,no
22,single,m,straight,athletic,mostly anything,rarely,never,no
18,single,m,straight,average,,not at all,never,sometimes
35,seeing someone,m,straight,average,strictly vegetarian,,never,
23,single,m,straight,,,socially,never,no
26,single,m,straight,fit,mostly anything,socially,sometimes,sometimes
23,single,m,straight,fit,mostly anything,socially,never,no
56,single,m,gay,athletic,anything,rarely,,no
23,single,m,straight,thin,mostly anything,rarely,never,no
28,single,m,straight,average,strictly anything,socially,,sometimes
35,single,m,straight,fit,,socially,sometimes,no
21,single,f,straight,thin,,,never,
21,seeing someone,f,bisexual,average,mostly anything,socially,,
37,single,m,gay,fit,mostly anything,socially,,no
54,single,m,straight,athletic,mostly vegetarian,socially,never,no
46,single,m,gay,average,mostly anything,socially,never,no
43,single,m,straight,fit,,not at all,never,no
29,single,m,straight,average,anything,socially,,no
28,single,f,straight,a little extra,mostly anything,socially,never,when drinking
25,single,f,straight,,,,never,
62,single,f,straight,curvy,mostly anything,socially,never,no
41,single,f,straight,full figured,,socially,never,no
64,single,m,straight,average,mostly anything,rarely,,no
31,single,m,straight,athletic,mostly anything,socially,never,no
35,single,m,gay,average,,socially,never,
30,single,m,straight,rather not say,,not at all,never,no
24,single,m,straight,average,mostly anything,,never,no
23,single,m,straight,fit,anything,socially,sometimes,
29,single,f,straight,thin,strictly vegan,often,never,no
33,single,m,straight,average,,socially,,no
48,single,m,straight,athletic,,socially,never,no
30,single,m,straight,athletic,,socially,never,sometimes
43,single,m,straight,athletic,,socially,,no
53,single,m,straight,average,anything,socially,never,no
41,single,m,straight,athletic,strictly anything,,,no
34,single,f,straight,average,,socially,,no
38,single,m,straight,thin,mostly vegetarian,socially,never,no
31,single,m,straight,fit,mostly anything,socially,,
24,single,m,straight,athletic,anything,socially,never,no
57,single,f,straight,thin,other,rarely,never,no
32,single,m,gay,full figured,mostly anything,socially,never,no
29,single,m,straight,used up,strictly anything,socially,never,no
31,single,m,straight,fit,,socially,sometimes,when drinking
33,single,m,straight,,,socially,never,no
36,single,m,straight,fit,anything,socially,never,no
29,single,m,straight,fit,,socially,never,no
41,single,m,straight,a little extra,,socially,,
40,single,m,straight,overweight,,not at all,never,no
23,single,m,straight,average,mostly anything,often,sometimes,when drinking
24,single,m,straight,athletic,,not at all,never,no
28,single,m,straight,athletic,mostly anything,socially,never,no
25,single,m,straight,thin,strictly anything,socially,,
45,single,f,straight,fit,mostly vegetarian,socially,never,no
27,single,m,straight,athletic,,,never,
23,single,f,straight,average,mostly anything,socially,,sometimes
19,single,m,gay,,,,never,no
43,single,m,straight,average,mostly anything,rarely,never,no
42,single,f,straight,fit,,socially,,no
25,single,m,straight,fit,mostly anything,socially,never,when drinking
24,single,m,straight,average,,socially,never,no
31,single,f,bisexual,average,mostly anything,often,,
33,single,f,straight,curvy,mostly anything,socially,never,no
28,single,f,bisexual,average,strictly anything,socially,sometimes,no
27,single,m,straight,thin,,socially,never,when drinking
32,single,m,straight,fit,,socially,never,no
45,single,m,straight,fit,,rarely,never,no
29,single,m,straight,athletic,,socially,never,no
21,single,m,straight,overweight,mostly anything,socially,sometimes,sometimes
55,single,f,straight,average,mostly vegetarian,desperately,never,no
29,single,m,straight,thin,mostly kosher,rarely,never,yes
31,single,m,straight,athletic,mostly anything,socially,never,no
31,single,f,straight,,mostly anything,socially,never,no
30,single,f,straight,average,,often,,no
40,single,m,straight,average,,socially,never,no
37,single,m,straight,average,,socially,never,no
28,single,f,straight,thin,,socially,never,no
25,available,f,bisexual,athletic,mostly vegetarian,socially,sometimes,no
28,single,f,straight,,,socially,,
37,single,m,straight,average,anything,rarely,never,no
39,single,m,straight,average,,socially,sometimes,sometimes
33,single,m,straight,athletic,mostly vegetarian,socially,never,no
31,single,m,straight,thin,mostly anything,rarely,,no
26,single,m,straight,athletic,mostly anything,socially,never,no
25,single,m,straight,,,socially,sometimes,
44,single,m,straight,fit,mostly anything,socially,sometimes,no
43,seeing someone,f,straight,,,,never,
34,seeing someone,f,bisexual,average,,socially,,sometimes
26,single,m,straight,athletic,anything,socially,never,yes
27,single,m,straight,thin,vegetarian,,,
37,single,m,straight,average,anything,desperately,,when drinking
22,single,m,straight,athletic,,socially,never,sometimes
25,single,m,straight,average,mostly anything,socially,,no
25,single,m,straight,overweight,,often,,yes
22,single,m,straight,average,vegetarian,socially,never,no
31,single,m,straight,average,anything,often,never,
24,single,m,straight,athletic,mostly anything,socially,,no
38,single,m,straight,fit,mostly anything,socially,sometimes,trying to quit
53,single,m,straight,a little extra,anything,not at all,never,no
25,seeing someone,m,straight,average,mostly anything,rarely,,sometimes
29,single,m,straight,fit,mostly anything,socially,never,no
24,single,f,bisexual,fit,,not at all,,no
29,single,f,gay,curvy,mostly vegetarian,socially,,no
35,single,m,straight,average,strictly anything,socially,,sometimes
27,available,m,bisexual,fit,,socially,,
21,single,m,straight,athletic,mostly anything,socially,,
32,single,m,gay,a little extra,,rarely,sometimes,no
49,single,m,straight,average,mostly anything,socially,never,no
41,single,m,straight,fit,,,,
28,single,m,straight,average,mostly anything,socially,,no
45,single,m,straight,average,strictly anything,not at all,never,no
44,single,f,straight,average,,socially,never,no
34,single,m,straight,,,often,never,
47,single,m,straight,average,,socially,never,no
35,single,m,straight,average,strictly anything,socially,never,when drinking
35,single,m,straight,thin,mostly vegetarian,rarely,,trying to quit
32,single,m,straight,average,mostly vegetarian,rarely,never,no
46,single,m,straight,average,mostly anything,socially,never,no
35,single,f,straight,curvy,,rarely,sometimes,no
25,single,m,straight,athletic,,rarely,never,no
33,single,f,straight,,mostly vegetarian,socially,,
34,single,f,straight,athletic,,socially,,no
30,single,f,straight,average,anything,socially,,
24,single,m,straight,athletic,mostly anything,socially,,sometimes
31,single,m,straight,athletic,anything,socially,never,no
29,single,m,straight,average,,socially,never,no
36,single,m,straight,average,,often,never,no
28,seeing someone,m,gay,athletic,,socially,never,no
25,single,m,straight,,mostly anything,socially,never,no
38,single,f,straight,fit,,socially,never,no
27,seeing someone,f,straight,curvy,strictly vegetarian,rarely,never,no
50,single,f,gay,,,socially,never,no
40,single,m,straight,average,strictly anything,rarely,never,no
30,single,f,bisexual,average,mostly vegetarian,often,,yes
40,single,f,straight,athletic,mostly anything,socially,,no
27,single,m,straight,athletic,strictly anything,socially,sometimes,sometimes
29,single,m,straight,fit,mostly anything,socially,never,no
29,single,m,straight,athletic,,often,,no
35,single,m,bisexual,athletic,,socially,never,no
23,single,m,straight,average,strictly anything,socially,sometimes,trying to quit
45,single,m,straight,fit,mostly anything,rarely,never,no
34,single,m,straight,athletic,mostly anything,not at all,never,no
28,single,m,straight,athletic,,,never,
41,single,m,gay,athletic,strictly vegetarian,not at all,never,no
25,single,m,straight,fit,mostly anything,socially,never,no
39,single,m,straight,fit,,socially,never,trying to quit
31,single,m,straight,athletic,mostly anything,socially,never,no
38,single,m,straight,fit,,socially,never,
59,single,m,straight,athletic,anything,socially,never,no
36,single,m,straight,athletic,mostly anything,socially,sometimes,no
25,seeing someone,m,straight,fit,,often,,no
29,single,m,straight,fit,vegetarian,socially,never,no
33,single,m,straight,jacked,strictly anything,socially,never,no
29,single,m,straight,average,,socially,never,no
30,single,m,straight,a little extra,mostly anything,rarely,never,sometimes
26,seeing someone,f,bisexual,fit,mostly other,rarely,sometimes,
32,single,f,straight,average,,socially,,
27,single,m,straight,fit,anything,rarely,never,no
24,single,m,straight,thin,,very often,sometimes,yes
33,single,f,straight,average,,socially,never,no
42,single,m,straight,fit,,often,,no
28,single,m,straight,a little extra,mostly anything,socially,,no
22,single,m,bisexual,used up,strictly anything,very often,sometimes,sometimes
37,single,m,straight,average,mostly anything,socially,never,no
24,single,f,straight,fit,,socially,,no
31,seeing someone,m,straight,average,strictly anything,socially,,no
20,single,m,straight,fit,anything,rarely,sometimes,sometimes
20,single,m,straight,a little extra,mostly anything,socially,sometimes,no
32,single,m,straight,fit,,socially,never,no
43,single,m,straight,average,mostly anything,socially,never,sometimes
26,single,m,straight,average,mostly anything,socially,,no
37,single,m,straight,athletic,mostly anything,often,sometimes,sometimes
30,single,m,straight,average,mostly anything,,,
54,single,m,gay,average,,not at all,never,no
25,single,m,straight,full figured,,socially,never,no
29,single,m,straight,,,often,sometimes,trying to quit
43,single,f,straight,fit,strictly anything,socially,never,no
27,single,f,straight,fit,mostly vegetarian,socially,,sometimes
45,single,m,straight,athletic,,socially,never,no
31,single,m,gay,athletic,,socially,never,no
23,single,m,straight,athletic,,socially,never,no
19,single,m,straight,a little extra,mostly anything,not at all,never,no
23,single,m,straight,fit,anything,socially,sometimes,no
41,single,m,straight,fit,,socially,sometimes,no
33,single,m,straight,average,mostly vegetarian,socially,never,no
22,single,m,straight,average,,often,,no
25,single,m,straight,athletic,,socially,never,no
36,single,m,straight,average,other,socially,never,no
29,single,m,straight,athletic,strictly anything,very often,never,no
33,single,f,straight,curvy,mostly anything,socially,sometimes,no
38,single,m,straight,average,,not at all,never,sometimes
25,single,m,straight,skinny,mostly anything,socially,,
33,single,m,gay,athletic,strictly anything,socially,never,no
31,single,m,straight,average,strictly other,socially,never,no
30,single,m,gay,athletic,anything,socially,never,no
29,single,m,straight,fit,vegetarian,socially,,no
27,single,m,straight,athletic,mostly anything,often,,no
29,single,m,gay,athletic,,,,no
50,single,f,straight,athletic,mostly anything,socially,never,no
27,single,m,gay,fit,mostly anything,not at all,never,no
22,single,m,straight,athletic,,socially,never,no
32,single,m,straight,athletic,anything,socially,never,no
26,single,m,straight,average,anything,often,never,trying to quit
27,single,m,straight,fit,strictly anything,often,sometimes,sometimes
26,single,m,straight,overweight,mostly anything,socially,never,sometimes
29,single,m,straight,average,,rarely,never,no
31,single,m,straight,average,mostly anything,socially,never,no
33,single,f,straight,thin,mostly anything,rarely,never,no
43,single,f,straight,average,mostly anything,socially,,no
31,available,m,bisexual,,mostly vegetarian,socially,never,no
29,single,m,gay,used up,mostly vegan,not at all,never,no
27,single,m,straight,athletic,,socially,never,no
22,single,m,straight,average,mostly anything,socially,never,no
26,single,f,straight,athletic,mostly other,rarely,never,sometimes
50,single,f,straight,fit,,socially,never,no
23,single,m,straight,fit,,rarely,never,no
22,single,m,straight,average,mostly anything,often,sometimes,yes
41,single,m,straight,a little extra,mostly anything,rarely,never,no
23,seeing someone,f,straight,a little extra,mostly anything,socially,never,no
32,single,m,straight,athletic,mostly anything,socially,never,no
24,single,f,gay,average,,socially,,yes
23,single,m,straight,athletic,mostly anything,often,,when drinking
45,single,m,straight,fit,strictly vegetarian,rarely,never,no
35,single,m,straight,fit,,not at all,never,no
29,single,m,straight,athletic,strictly vegetarian,not at all,never,no
34,single,m,gay,,,often,,no
46,married,m,straight,,anything,socially,never,no
36,single,m,straight,a little extra,strictly anything,rarely,never,no
33,single,m,straight,average,,socially,never,no
29,single,f,straight,average,mostly anything,socially,never,no
42,single,m,straight,athletic,,,,
41,single,m,straight,average,mostly anything,socially,never,no
32,single,m,straight,jacked,mostly anything,socially,,no
40,single,m,straight,fit,mostly anything,socially,never,no
30,single,m,straight,,,often,never,no
25,available,m,gay,a little extra,,socially,sometimes,no
29,single,f,straight,a little extra,anything,socially,,no
28,single,m,straight,average,strictly vegetarian,socially,,no
26,single,m,straight,fit,,socially,,yes
40,single,f,gay,average,,socially,never,sometimes
20,single,m,bisexual,overweight,mostly anything,rarely,never,yes
25,single,m,straight,fit,strictly anything,socially,never,no
28,single,f,straight,fit,,,,
23,single,m,straight,average,anything,socially,never,no
38,single,f,gay,athletic,anything,not at all,never,no
27,single,m,straight,average,anything,socially,never,sometimes
29,single,f,straight,,,socially,never,no
27,single,m,straight,average,mostly anything,socially,never,no
24,single,m,straight,athletic,,socially,sometimes,sometimes
27,single,m,straight,fit,,socially,never,no
65,single,f,straight,average,anything,socially,never,no
34,single,m,bisexual,average,anything,socially,sometimes,no
27,single,f,straight,average,anything,socially,never,no
43,available,m,straight,average,mostly anything,rarely,never,no
20,single,f,straight,athletic,strictly vegetarian,socially,never,no
27,single,m,gay,skinny,mostly anything,socially,,
31,single,m,straight,average,,socially,sometimes,no
40,single,f,straight,thin,mostly vegetarian,socially,never,no
28,single,m,straight,athletic,mostly anything,often,never,no
23,single,f,straight,thin,mostly anything,,,no
32,single,m,straight,fit,mostly vegetarian,very often,,trying to quit
30,single,m,straight,average,anything,socially,never,no
34,single,m,straight,average,,,never,
27,single,f,straight,,strictly other,not at all,never,no
46,single,m,straight,athletic,,socially,never,no
26,seeing someone,f,straight,athletic,,socially,never,no
36,single,f,straight,fit,anything,socially,never,no
30,single,f,straight,fit,mostly anything,very often,never,no
32,single,m,straight,average,strictly anything,socially,,trying to quit
18,single,m,straight,a little extra,mostly other,socially,never,no
24,single,m,straight,average,strictly anything,socially,never,no
25,available,m,straight,jacked,,socially,never,no
25,single,m,straight,average,,socially,never,sometimes
66,single,m,straight,thin,other,socially,sometimes,no
30,single,m,bisexual,average,mostly anything,often,,no
30,single,m,straight,fit,strictly anything,rarely,never,no
39,single,m,straight,fit,anything,socially,never,no
26,single,m,straight,athletic,,socially,,no
26,seeing someone,f,gay,average,mostly anything,socially,never,no
31,single,m,straight,fit,mostly anything,socially,sometimes,no
30,single,f,straight,average,mostly vegetarian,socially,never,no
24,single,f,gay,full figured,mostly anything,socially,sometimes,no
28,single,m,straight,skinny,strictly vegan,not at all,never,no
31,single,f,straight,fit,,rarely,never,no
19,single,m,straight,average,mostly anything,not at all,never,no
29,seeing someone,m,straight,average,,socially,never,no
31,single,m,straight,athletic,mostly anything,socially,,no
25,single,m,straight,fit,mostly vegetarian,socially,,no
49,single,m,straight,athletic,strictly vegetarian,rarely,never,no
52,single,m,straight,athletic,strictly anything,socially,never,no
26,single,f,straight,fit,,socially,,
25,single,m,straight,fit,anything,socially,never,
50,single,f,straight,fit,mostly vegetarian,rarely,never,no
24,single,m,straight,thin,strictly vegetarian,socially,never,sometimes
24,single,f,straight,athletic,strictly anything,socially,never,no
31,single,f,straight,athletic,mostly anything,socially,,no
31,single,m,straight,thin,mostly anything,socially,never,no
20,available,m,gay,skinny,mostly anything,desperately,,no
22,single,m,straight,fit,strictly anything,socially,never,no
28,seeing someone,m,straight,average,,socially,never,no
45,single,m,straight,fit,,socially,never,no
27,single,m,straight,athletic,,socially,never,no
48,single,m,straight,fit,mostly anything,socially,sometimes,no
23,single,m,bisexual,thin,mostly vegetarian,socially,,no
29,single,m,straight,,,rarely,never,no
44,married,m,straight,average,strictly other,often,,no
23,single,f,straight,athletic,,often,,
28,single,f,straight,curvy,,socially,never,no
32,single,m,straight,thin,mostly other,socially,never,no
30,single,m,gay,,anything,socially,never,no
46,single,m,gay,average,mostly anything,rarely,never,no
47,single,m,straight,thin,,socially,never,no
29,single,m,straight,average,mostly other,socially,never,no
29,single,m,straight,average,mostly anything,socially,never,no
37,single,m,straight,average,,socially,never,no
30,single,f,straight,,,socially,never,no
